date,store,region,product,category,unit_price,quantity,total_sales
2023-04-13,Store A,South,Tablet,Electronics,300,2,600
2024-03-11,Store D,East,Laptop,Electronics,900,10,9000
2023-09-28,Store D,West,Headphones,Accessories,75,11,825
2023-04-17,Store E,West,Keyboard,Accessories,40,5,200
2023-03-13,Store B,West,Tablet,Electronics,300,4,1200
2024-12-01,Store E,North,Laptop,Electronics,900,4,3600
2023-01-21,Store A,South,Mouse,Accessories,25,2,50
2024-09-06,Store E,West,Laptop,Electronics,900,8,7200
2023-05-02,Store B,South,Monitor,Electronics,180,12,2160
2024-04-11,Store D,West,Headphones,Accessories,75,7,525
2023-08-03,Store D,East,Keyboard,Accessories,40,7,280
2023-11-27,Store A,South,Smartphone,Electronics,700,1,700
2024-04-03,Store C,East,Keyboard,Accessories,40,8,320
2023-03-29,Store E,South,Tablet,Electronics,300,9,2700
2024-01-08,Store A,West,Tablet,Electronics,300,5,1500
2023-04-10,Store D,West,Headphones,Accessories,75,8,600
2024-10-25,Store B,West,Keyboard,Accessories,40,13,520
2023-05-11,Store B,West,Mouse,Accessories,25,7,175
2024-10-23,Store C,West,Laptop,Electronics,900,8,7200
2023-11-05,Store C,West,Mouse,Accessories,25,9,225
2023-12-10,Store D,West,Keyboard,Accessories,40,5,200
2024-05-06,Store C,North,Headphones,Accessories,75,12,900
2024-02-18,Store C,South,Keyboard,Accessories,40,7,280
2024-01-21,Store B,East,Headphones,Accessories,75,3,225
2023-07-11,Store E,North,Tablet,Electronics,300,9,2700
2023-10-04,Store B,South,Laptop,Electronics,900,10,9000
2023-06-10,Store B,East,Monitor,Electronics,180,14,2520
2024-04-04,Store D,South,Keyboard,Accessories,40,5,200
2023-11-10,Store D,East,Mouse,Accessories,25,9,225
2023-01-22,Store E,East,Laptop,Electronics,900,11,9900
2023-09-10,Store A,East,Monitor,Electronics,180,2,360
2024-07-14,Store C,South,Laptop,Electronics,900,14,12600
2024-04-19,Store C,South,Monitor,Electronics,180,6,1080
2023-02-28,Store B,East,Monitor,Electronics,180,4,720
2024-05-25,Store B,East,Smartphone,Electronics,700,4,2800
2024-11-12,Store E,West,Monitor,Electronics,180,6,1080
2024-04-20,Store C,East,Mouse,Accessories,25,6,150
2024-11-30,Store B,West,Tablet,Electronics,300,4,1200
2023-07-09,Store B,West,Monitor,Electronics,180,12,2160
2024-11-17,Store D,West,Mouse,Accessories,25,7,175
2024-07-16,Store A,East,Tablet,Electronics,300,10,3000
2024-07-20,Store E,East,Tablet,Electronics,300,11,3300
2023-09-01,Store A,East,Tablet,Electronics,300,5,1500
2024-05-19,Store A,East,Laptop,Electronics,900,14,12600
2023-05-11,Store E,West,Headphones,Accessories,75,11,825
2024-04-29,Store C,East,Monitor,Electronics,180,2,360
2024-10-08,Store B,West,Monitor,Electronics,180,10,1800
2023-01-21,Store E,West,Headphones,Accessories,75,4,300
2023-06-16,Store B,West,Monitor,Electronics,180,8,1440
2023-10-01,Store D,South,Keyboard,Accessories,40,4,160
2024-01-23,Store A,North,Keyboard,Accessories,40,13,520
2024-08-23,Store D,West,Laptop,Electronics,900,11,9900
2023-11-12,Store A,West,Mouse,Accessories,25,7,175
2023-01-14,Store C,North,Smartphone,Electronics,700,13,9100
2023-08-30,Store E,South,Tablet,Electronics,300,13,3900
2023-12-12,Store C,East,Keyboard,Accessories,40,9,360
2024-07-18,Store A,South,Keyboard,Accessories,40,1,40
2023-12-06,Store D,East,Tablet,Electronics,300,6,1800
2023-04-02,Store A,North,Monitor,Electronics,180,1,180
2024-01-02,Store C,South,Monitor,Electronics,180,14,2520
2024-03-30,Store C,North,Keyboard,Accessories,40,3,120
