sale_date,store,region,product,category,unit_price,quantity,total_sales
2023-05-13,Store B,North,Keyboard,Accessories,40.00,12,480.00
2023-01-20,Store C,North,Mouse,Accessories,25.00,5,125.00
2023-04-17,Store B,West,Monitor,Electronics,180.00,5,900.00
2024-10-15,Store E,West,Monitor,Electronics,180.00,7,1260.00
2023-08-29,Store B,East,Mouse,Accessories,25.00,14,350.00
2023-05-14,Store E,North,Tablet,Electronics,300.00,2,600.00
2023-10-03,Store C,West,Keyboard,Accessories,40.00,4,160.00
2023-02-17,Store A,North,Tablet,Electronics,300.00,3,900.00
2023-09-30,Store E,North,Tablet,Electronics,300.00,14,4200.00
2024-07-09,Store D,North,Monitor,Electronics,180.00,8,1440.00
2024-07-19,Store A,North,Headphones,Accessories,75.00,1,75.00
2024-02-14,Store B,South,Keyboard,Accessories,40.00,12,480.00
2024-02-26,Store C,West,Mouse,Accessories,25.00,1,25.00
2023-09-06,Store B,East,Tablet,Electronics,300.00,11,3300.00
2024-10-19,Store D,North,Mouse,Accessories,25.00,14,350.00
2024-12-18,Store D,East,Headphones,Accessories,75.00,13,975.00
2024-10-09,Store C,East,Smartphone,Electronics,700.00,13,9100.00
2024-02-22,Store D,West,Mouse,Accessories,25.00,5,125.00
2024-04-11,Store C,West,Smartphone,Electronics,700.00,9,6300.00
2023-02-18,Store E,North,Mouse,Accessories,25.00,1,25.00
2023-08-28,Store B,South,Monitor,Electronics,180.00,4,720.00
2024-06-15,Store E,East,Laptop,Electronics,900.00,8,7200.00
2023-05-08,Store B,South,Laptop,Electronics,900.00,13,11700.00
2024-01-12,Store E,West,Laptop,Electronics,900.00,12,10800.00
2023-09-14,Store D,West,Keyboard,Accessories,40.00,5,200.00
2023-12-29,Store A,West,Laptop,Electronics,900.00,12,10800.00
2023-10-19,Store B,North,Keyboard,Accessories,40.00,14,560.00
2023-10-08,Store A,North,Laptop,Electronics,900.00,6,5400.00
2023-08-21,Store E,West,Tablet,Electronics,300.00,1,300.00
2023-03-14,Store A,West,Monitor,Electronics,180.00,3,540.00
2024-10-19,Store A,North,Mouse,Accessories,25.00,5,125.00
2024-01-03,Store B,East,Mouse,Accessories,25.00,5,125.00
2023-12-31,Store C,South,Keyboard,Accessories,40.00,5,200.00
2024-02-28,Store D,East,Monitor,Electronics,180.00,6,1080.00
2023-04-22,Store C,South,Smartphone,Electronics,700.00,14,9800.00
2023-12-28,Store A,North,Headphones,Accessories,75.00,9,675.00
2023-05-16,Store B,North,Headphones,Accessories,75.00,2,150.00
2023-09-30,Store C,South,Keyboard,Accessories,40.00,1,40.00
2023-11-15,Store C,South,Mouse,Accessories,25.00,11,275.00
2023-01-19,Store B,North,Keyboard,Accessories,40.00,10,400.00
2023-08-28,Store B,West,Laptop,Electronics,900.00,11,9900.00
2023-01-24,Store D,East,Mouse,Accessories,25.00,14,350.00
2023-08-19,Store B,South,Laptop,Electronics,900.00,7,6300.00
2024-04-04,Store E,East,Laptop,Electronics,900.00,10,9000.00
2023-01-01,Store B,East,Headphones,Accessories,75.00,4,300.00
2024-02-13,Store A,East,Smartphone,Electronics,700.00,6,4200.00
2023-04-16,Store C,East,Keyboard,Accessories,40.00,2,80.00
2024-06-15,Store D,West,Smartphone,Electronics,700.00,3,2100.00
2023-11-03,Store D,North,Smartphone,Electronics,700.00,12,8400.00
2023-01-21,Store D,North,Keyboard,Accessories,40.00,3,120.00
2023-07-07,Store C,East,Tablet,Electronics,300.00,6,1800.00
2024-10-14,Store D,South,Laptop,Electronics,900.00,1,900.00
2023-01-10,Store B,West,Smartphone,Electronics,700.00,8,5600.00
2023-01-30,Store D,North,Mouse,Accessories,25.00,5,125.00
2023-06-23,Store D,East,Keyboard,Accessories,40.00,11,440.00
2024-04-16,Store A,East,Keyboard,Accessories,40.00,9,360.00
2024-10-18,Store C,South,Tablet,Electronics,300.00,1,300.00
2024-06-05,Store C,South,Keyboard,Accessories,40.00,9,360.00
2024-08-02,Store A,East,Keyboard,Accessories,40.00,5,200.00
2024-12-17,Store D,South,Headphones,Accessories,75.00,12,900.00
2024-12-08,Store C,South,Smartphone,Electronics,700.00,7,4900.00
2023-08-19,Store C,West,Laptop,Electronics,900.00,7,6300.00
2023-03-13,Store E,West,Mouse,Accessories,25.00,5,125.00
2023-04-21,Store A,South,Smartphone,Electronics,700.00,6,4200.00
2023-08-18,Store C,South,Laptop,Electronics,900.00,12,10800.00
2024-11-08,Store B,North,Tablet,Electronics,300.00,12,3600.00
2024-09-03,Store A,North,Smartphone,Electronics,700.00,4,2800.00
2023-03-26,Store A,South,Keyboard,Accessories,40.00,10,400.00
2024-09-08,Store D,North,Keyboard,Accessories,40.00,14,560.00
2023-03-09,Store E,East,Laptop,Electronics,900.00,6,5400.00
2023-03-23,Store E,North,Laptop,Electronics,900.00,5,4500.00
2023-06-13,Store B,West,Mouse,Accessories,25.00,8,200.00
2024-01-25,Store A,East,Tablet,Electronics,300.00,9,2700.00
2023-04-14,Store A,East,Monitor,Electronics,180.00,13,2340.00
2023-05-13,Store D,East,Tablet,Electronics,300.00,9,2700.00
2024-08-05,Store E,East,Headphones,Accessories,75.00,10,750.00
2023-01-15,Store C,East,Keyboard,Accessories,40.00,9,360.00
2023-10-16,Store B,West,Keyboard,Accessories,40.00,12,480.00
2023-06-14,Store B,East,Mouse,Accessories,25.00,13,325.00
2024-07-14,Store C,South,Laptop,Electronics,900.00,10,9000.00
2023-05-27,Store D,South,Laptop,Electronics,900.00,10,9000.00
2023-09-11,Store C,South,Tablet,Electronics,300.00,10,3000.00
2023-01-02,Store E,South,Monitor,Electronics,180.00,7,1260.00
