date_key,sale_date,sale_year,sale_month,sale_quarter,weekday
1,2023-06-08,2023,6,2,Thursday
2,2023-06-10,2023,6,2,Saturday
3,2024-07-01,2024,7,3,Monday
4,2024-04-28,2024,4,2,Sunday
5,2024-08-02,2024,8,3,Friday
6,2024-11-02,2024,11,4,Saturday
7,2024-02-15,2024,2,1,Thursday
8,2023-09-24,2023,9,3,Sunday
9,2024-05-09,2024,5,2,Thursday
10,2024-12-07,2024,12,4,Saturday
11,2023-02-25,2023,2,1,Saturday
12,2024-06-21,2024,6,2,Friday
13,2023-05-24,2023,5,2,Wednesday
14,2024-09-29,2024,9,3,Sunday
15,2023-09-08,2023,9,3,Friday
16,2023-01-23,2023,1,1,Monday
17,2024-11-15,2024,11,4,Friday
18,2024-12-26,2024,12,4,Thursday
19,2024-05-16,2024,5,2,Thursday
20,2023-12-04,2023,12,4,Monday
21,2024-03-09,2024,3,1,Saturday
22,2024-11-12,2024,11,4,Tuesday
23,2024-01-10,2024,1,1,Wednesday
24,2024-03-08,2024,3,1,Friday
25,2024-11-21,2024,11,4,Thursday
26,2024-07-27,2024,7,3,Saturday
27,2023-05-20,2023,5,2,Saturday
28,2024-12-14,2024,12,4,Saturday
29,2023-08-25,2023,8,3,Friday
30,2023-12-21,2023,12,4,Thursday
31,2023-07-13,2023,7,3,Thursday
32,2023-04-19,2023,4,2,Wednesday
33,2024-02-27,2024,2,1,Tuesday
34,2023-09-03,2023,9,3,Sunday
35,2023-06-11,2023,6,2,Sunday
36,2023-09-06,2023,9,3,Wednesday
37,2024-01-19,2024,1,1,Friday
38,2024-03-20,2024,3,1,Wednesday
39,2024-01-16,2024,1,1,Tuesday
40,2023-06-25,2023,6,2,Sunday
41,2024-06-02,2024,6,2,Sunday
42,2024-04-12,2024,4,2,Friday
43,2023-02-28,2023,2,1,Tuesday
44,2024-04-06,2024,4,2,Saturday
45,2024-11-22,2024,11,4,Friday
46,2023-12-30,2023,12,4,Saturday
47,2023-10-09,2023,10,4,Monday
48,2024-08-22,2024,8,3,Thursday
49,2024-08-17,2024,8,3,Saturday
50,2023-03-13,2023,3,1,Monday
51,2023-09-27,2023,9,3,Wednesday
52,2023-10-01,2023,10,4,Sunday
53,2024-08-30,2024,8,3,Friday
54,2024-03-26,2024,3,1,Tuesday
55,2024-07-20,2024,7,3,Saturday
56,2023-06-12,2023,6,2,Monday
57,2024-05-10,2024,5,2,Friday
58,2023-03-17,2023,3,1,Friday
59,2024-04-22,2024,4,2,Monday
60,2023-01-28,2023,1,1,Saturday
61,2024-05-02,2024,5,2,Thursday
62,2024-04-13,2024,4,2,Saturday
63,2023-07-26,2023,7,3,Wednesday
64,2023-05-08,2023,5,2,Monday
