sales_id,date_key,store_key,product_key,quantity,unit_price,total_sales,estimated_cost,estimated_profit
245614,348,18,3,14,300.00,4200.00,2730.00,1470.00
245615,681,2,5,8,180.00,1440.00,936.00,504.00
245616,181,1,4,1,75.00,75.00,48.75,26.25
245617,152,17,7,12,40.00,480.00,312.00,168.00
245618,350,20,6,1,25.00,25.00,16.25,8.75
245619,36,19,3,11,300.00,3300.00,2145.00,1155.00
245620,434,2,6,14,25.00,350.00,227.50,122.50
245621,619,4,4,13,75.00,975.00,633.75,341.25
245622,694,10,2,13,700.00,9100.00,5915.00,3185.00
245623,618,9,6,5,25.00,125.00,81.25,43.75
245624,642,20,2,9,700.00,6300.00,4095.00,2205.00
245625,635,18,6,1,25.00,25.00,16.25,8.75
245626,135,17,5,4,180.00,720.00,468.00,252.00
245627,549,5,1,8,900.00,7200.00,4680.00,2520.00
245628,64,17,1,13,900.00,11700.00,7605.00,4095.00
245629,299,14,1,12,900.00,10800.00,7020.00,3780.00
245630,238,9,7,5,40.00,200.00,130.00,70.00
245631,603,11,1,12,900.00,10800.00,7020.00,3780.00
245632,718,13,7,14,40.00,560.00,364.00,196.00
245633,244,1,1,6,900.00,5400.00,3510.00,1890.00
245634,593,14,3,1,300.00,300.00,195.00,105.00
245635,529,11,5,3,180.00,540.00,351.00,189.00
245636,434,1,6,5,25.00,125.00,81.25,43.75
245637,513,19,6,5,25.00,125.00,81.25,43.75
245638,581,7,7,5,40.00,200.00,130.00,70.00
245639,169,4,5,6,180.00,1080.00,702.00,378.00
245640,667,7,2,14,700.00,9800.00,6370.00,3430.00
245641,686,1,4,9,75.00,675.00,438.75,236.25
245642,329,13,4,2,75.00,150.00,97.50,52.50
245643,348,7,7,1,40.00,40.00,26.00,14.00
245644,610,7,6,11,25.00,275.00,178.75,96.25
245645,566,13,7,10,40.00,400.00,260.00,140.00
245646,135,6,1,11,900.00,9900.00,6435.00,3465.00
245647,551,4,6,14,25.00,350.00,227.50,122.50
245648,464,17,1,7,900.00,6300.00,4095.00,2205.00
245649,708,5,1,10,900.00,9000.00,5850.00,3150.00
245650,180,19,4,4,75.00,300.00,195.00,105.00
245651,442,16,2,6,700.00,4200.00,2730.00,1470.00
245652,205,10,7,2,40.00,80.00,52.00,28.00
245653,549,9,2,3,700.00,2100.00,1365.00,735.00
245654,713,2,2,12,700.00,8400.00,5460.00,2940.00
245655,501,2,7,3,40.00,120.00,78.00,42.00
245656,308,10,3,6,300.00,1800.00,1170.00,630.00
245657,273,12,1,1,900.00,900.00,585.00,315.00
245658,414,6,2,8,700.00,5600.00,3640.00,1960.00
245659,672,2,6,5,25.00,125.00,81.25,43.75
245660,679,4,7,11,40.00,440.00,286.00,154.00
245661,365,16,7,9,40.00,360.00,234.00,126.00
245662,644,7,3,1,300.00,300.00,195.00,105.00
245663,592,7,7,9,40.00,360.00,234.00,126.00
245664,5,16,7,5,40.00,200.00,130.00,70.00
245665,377,12,4,12,75.00,900.00,585.00,315.00
245666,565,7,2,7,700.00,4900.00,3185.00,1715.00
245667,464,20,1,7,900.00,6300.00,4095.00,2205.00
245668,50,14,6,5,25.00,125.00,81.25,43.75
245669,487,3,2,6,700.00,4200.00,2730.00,1470.00
245670,93,7,1,12,900.00,10800.00,7020.00,3780.00
245671,392,13,3,12,300.00,3600.00,2340.00,1260.00
