sale_date,store,region,product,category,unit_price,quantity,total_sales,sale_year,sale_month,sale_quarter,weekday,estimated_profit,estimated_cost
2023-04-13,Store A,South,Tablet,Electronics,300,2,600,2023,4,2,Thursday,210.0,390.0
2024-03-11,Store D,East,Laptop,Electronics,900,10,9000,2024,3,1,Monday,3150.0,5850.0
2023-09-28,Store D,West,Headphones,Accessories,75,11,825,2023,9,3,Thursday,288.75,536.25
2023-04-17,Store E,West,Keyboard,Accessories,40,5,200,2023,4,2,Monday,70.0,130.0
2023-03-13,Store B,West,Tablet,Electronics,300,4,1200,2023,3,1,Monday,420.0,780.0
2024-12-01,Store E,North,Laptop,Electronics,900,4,3600,2024,12,4,Sunday,1260.0,2340.0
2023-01-21,Store A,South,Mouse,Accessories,25,2,50,2023,1,1,Saturday,17.5,32.5
2024-09-06,Store E,West,Laptop,Electronics,900,8,7200,2024,9,3,Friday,2520.0,4680.0
2023-05-02,Store B,South,Monitor,Electronics,180,12,2160,2023,5,2,Tuesday,756.0,1404.0
2024-04-11,Store D,West,Headphones,Accessories,75,7,525,2024,4,2,Thursday,183.75,341.25
2023-08-03,Store D,East,Keyboard,Accessories,40,7,280,2023,8,3,Thursday,98.0,182.0
2023-11-27,Store A,South,Smartphone,Electronics,700,1,700,2023,11,4,Monday,244.99999999999997,455.0
2024-04-03,Store C,East,Keyboard,Accessories,40,8,320,2024,4,2,Wednesday,112.0,208.0
2023-03-29,Store E,South,Tablet,Electronics,300,9,2700,2023,3,1,Wednesday,944.9999999999999,1755.0
2024-01-08,Store A,West,Tablet,Electronics,300,5,1500,2024,1,1,Monday,525.0,975.0
2023-04-10,Store D,West,Headphones,Accessories,75,8,600,2023,4,2,Monday,210.0,390.0
2024-10-25,Store B,West,Keyboard,Accessories,40,13,520,2024,10,4,Friday,182.0,338.0
2023-05-11,Store B,West,Mouse,Accessories,25,7,175,2023,5,2,Thursday,61.24999999999999,113.75
2024-10-23,Store C,West,Laptop,Electronics,900,8,7200,2024,10,4,Wednesday,2520.0,4680.0
2023-11-05,Store C,West,Mouse,Accessories,25,9,225,2023,11,4,Sunday,78.75,146.25
2023-12-10,Store D,West,Keyboard,Accessories,40,5,200,2023,12,4,Sunday,70.0,130.0
2024-05-06,Store C,North,Headphones,Accessories,75,12,900,2024,5,2,Monday,315.0,585.0
2024-02-18,Store C,South,Keyboard,Accessories,40,7,280,2024,2,1,Sunday,98.0,182.0
2024-01-21,Store B,East,Headphones,Accessories,75,3,225,2024,1,1,Sunday,78.75,146.25
2023-07-11,Store E,North,Tablet,Electronics,300,9,2700,2023,7,3,Tuesday,944.9999999999999,1755.0
2023-10-04,Store B,South,Laptop,Electronics,900,10,9000,2023,10,4,Wednesday,3150.0,5850.0
2023-06-10,Store B,East,Monitor,Electronics,180,14,2520,2023,6,2,Saturday,882.0,1638.0
2024-04-04,Store D,South,Keyboard,Accessories,40,5,200,2024,4,2,Thursday,70.0,130.0
2023-11-10,Store D,East,Mouse,Accessories,25,9,225,2023,11,4,Friday,78.75,146.25
2023-01-22,Store E,East,Laptop,Electronics,900,11,9900,2023,1,1,Sunday,3465.0,6435.0
2023-09-10,Store A,East,Monitor,Electronics,180,2,360,2023,9,3,Sunday,125.99999999999999,234.0
2024-07-14,Store C,South,Laptop,Electronics,900,14,12600,2024,7,3,Sunday,4410.0,8190.0
2024-04-19,Store C,South,Monitor,Electronics,180,6,1080,2024,4,2,Friday,378.0,702.0
2023-02-28,Store B,East,Monitor,Electronics,180,4,720,2023,2,1,Tuesday,251.99999999999997,468.0
2024-05-25,Store B,East,Smartphone,Electronics,700,4,2800,2024,5,2,Saturday,979.9999999999999,1820.0
2024-11-12,Store E,West,Monitor,Electronics,180,6,1080,2024,11,4,Tuesday,378.0,702.0
2024-04-20,Store C,East,Mouse,Accessories,25,6,150,2024,4,2,Saturday,52.5,97.5
2024-11-30,Store B,West,Tablet,Electronics,300,4,1200,2024,11,4,Saturday,420.0,780.0
2023-07-09,Store B,West,Monitor,Electronics,180,12,2160,2023,7,3,Sunday,756.0,1404.0
2024-11-17,Store D,West,Mouse,Accessories,25,7,175,2024,11,4,Sunday,61.24999999999999,113.75
2024-07-16,Store A,East,Tablet,Electronics,300,10,3000,2024,7,3,Tuesday,1050.0,1950.0
2024-07-20,Store E,East,Tablet,Electronics,300,11,3300,2024,7,3,Saturday,1155.0,2145.0
