sale_date,sale_year,sale_month,sale_quarter,weekday,product_name,category,store_name,region,quantity,unit_price,total_sales,estimated_profit
2023-09-30,2023,9,3,Saturday,Tablet,Electronics,Store E,North,14,300.00,4200.00,1470.00
2024-07-09,2024,7,3,Tuesday,Monitor,Electronics,Store D,North,8,180.00,1440.00,504.00
2024-07-19,2024,7,3,Friday,Headphones,Accessories,Store A,North,1,75.00,75.00,26.25
2024-02-14,2024,2,1,Wednesday,Keyboard,Accessories,Store B,South,12,40.00,480.00,168.00
2024-02-26,2024,2,1,Monday,Mouse,Accessories,Store C,West,1,25.00,25.00,8.75
2023-09-06,2023,9,3,Wednesday,Tablet,Electronics,Store B,East,11,300.00,3300.00,1155.00
2024-10-19,2024,10,4,Saturday,Mouse,Accessories,Store D,North,14,25.00,350.00,122.50
2024-12-18,2024,12,4,Wednesday,Headphones,Accessories,Store D,East,13,75.00,975.00,341.25
2024-10-09,2024,10,4,Wednesday,Smartphone,Electronics,Store C,East,13,700.00,9100.00,3185.00
2024-02-22,2024,2,1,Thursday,Mouse,Accessories,Store D,West,5,25.00,125.00,43.75
2024-04-11,2024,4,2,Thursday,Smartphone,Electronics,Store C,West,9,700.00,6300.00,2205.00
2023-02-18,2023,2,1,Saturday,Mouse,Accessories,Store E,North,1,25.00,25.00,8.75
2023-08-28,2023,8,3,Monday,Monitor,Electronics,Store B,South,4,180.00,720.00,252.00
2024-06-15,2024,6,2,Saturday,Laptop,Electronics,Store E,East,8,900.00,7200.00,2520.00
2023-05-08,2023,5,2,Monday,Laptop,Electronics,Store B,South,13,900.00,11700.00,4095.00
2024-01-12,2024,1,1,Friday,Laptop,Electronics,Store E,West,12,900.00,10800.00,3780.00
2023-09-14,2023,9,3,Thursday,Keyboard,Accessories,Store D,West,5,40.00,200.00,70.00
2023-12-29,2023,12,4,Friday,Laptop,Electronics,Store A,West,12,900.00,10800.00,3780.00
2023-10-19,2023,10,4,Thursday,Keyboard,Accessories,Store B,North,14,40.00,560.00,196.00
